number,kind,state,state_reason,isDraft,merged,assignees,milestone,status_labels,priority_labels,type_labels,other_labels,url
424,"issue","open","","","","ashleyshaw","AI Ops Governance Infrastructure Rollout","status:ready","priority:normal","type:documentation","","https://github.com/lightspeedwp/.github/issues/424"
423,"issue","open","","","","ashleyshaw","AI Ops Governance Infrastructure Rollout","status:ready","priority:normal","type:documentation","","https://github.com/lightspeedwp/.github/issues/423"
422,"issue","open","","","","ashleyshaw","AI Ops Governance Infrastructure Rollout","status:ready","priority:normal","type:documentation","","https://github.com/lightspeedwp/.github/issues/422"
